,State_Name,District_Name,Jan_level,Feb_level,march_level,april_level,may_level,june_level,july_level,aug_level,sep_level,oct_level,nov_level,dec_level,Jan2020_lev
0,MADHYA PRADESH,JHABUA,6.19,5,5,5,9.59,5.64,4.11,1.29,5,1.92,3.6,5,5
1,JAMMU & KASHMIR,JAMMU,5.65,5,5,5,7.08,5,5,5.8,5,5,2.42,5,5
2,BIHAR,DARBHANGA,4.4,5,5,5,5.41,5,5,5.97,5,5,2.91,5,5
3,BIHAR,SHEOHAR,3.79,4,4,4,6.11,4,4,4.99,4,4,2.19,4,4
4,MIZORAM,LUNGLEI,4,4,4,4,4,4,4,4,4,4,4,4,4
5,MADHYA PRADESH,MORENA,16.67,9,9,9,13.71,11.83,10.75,7,9,1.27,3.82,9,9
6,GUJARAT,NARMADA,10.27,9,9,9,12.14,9,9,7.69,9,9,6.53,9,9
7,RAJASTHAN,ALWAR,33.29,34,34,34,36.88,34,34,32.57,34,34,32.76,34,34
8,ASSAM,SONITPUR,3.97,3,4.5,3,3,3,3,1.98,3,3,3.19,3,3
9,TAMILNADU,CUDDALORE,11.6,10.74,11.36,11.55,20.22,9.66,11.16,18.84,16,17.65,15.84,14,14
10,CHHATTISGARH,JANJGIR-CHAMPA,5.74,4,4,4,8.35,4,4.46,2.76,2.31,4,3.06,3.41,3.56
11,ODISHA,GANJAM,3.11,3,3,4.97,3,3,3,1.76,3,3,2.2,3,3
12,ASSAM,TINSUKIA,3.39,3,3.2,3,3,3,3,1.61,3,3,2.22,3,3
13,ANDHRA PRADESH,ANANTAPUR,20.17,23.51,24.49,24.75,22.21,18,18,3.96,18,8.41,18,18,16.83
14,ANDHRA PRADESH,KURNOOL,10.59,12.84,14.1,14.26,13.23,10,10,3.98,10,4.48,10,10,8.36
15,ODISHA,PURI,3.25,2,2,3.56,2,2,2,1.4,2,2,1.72,2,2
16,GUJARAT,VADODARA,14.57,13,13,13,16.34,13,13,9.8,13,13,10.51,13,13
17,MIZORAM,MAMIT,13,13,13,13,13,13,13,13,13,13,13,13,13
18,MEGHALAYA,WEST GARO HILLS,3.55,3,4.63,3,3,3,3,2.51,3,3,2.63,3,3
19,NAGALAND,PHEK,3,3,3,3,3,3,3,3,3,3,3,3,3
20,WEST BENGAL,KOCH BIHAR,3.5,3,3,2.31,3,3,3,1.76,3,3,2.63,3,3
21,MAHARASHTRA,BHANDARA,6.2,6,6,6,9.84,6,6,2.01,6,6,5.03,6,6
22,WEST BENGAL,MURSHIDABAD,9.68,9,9,9.62,9,9,9,13.11,9,9,3.6,9,9
23,TAMILNADU,TIRUVANNAMALAI,7.21,10.78,11.42,11.69,9.64,9.65,11.13,9.32,18.83,18.06,4.97,11,11
24,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,6.43,5,5,5,10.31,5,5,1.88,5,5,2.91,5,5
25,BIHAR,BHAGALPUR,5.9,6,6,6,7.21,6,6,6.18,6,6,3.16,6,6
26,GUJARAT,AMRELI,13.28,12,12,12,16.97,12,12,9.42,12,12,7.23,12,12
27,RAJASTHAN,NAGAUR,48.13,43,43,43,37.87,43,43,45.86,43,43,40.56,43,43
28,GOA,SOUTH GOA,5.93,5,5,5,6.06,5,5,3.95,5,5,4.77,5,5
29,MAHARASHTRA,CHANDRAPUR,5.64,5,5,5,9.07,5,5,2.41,5,5,3.88,5,5
30,LAKSHDWEEP,LAKSHADWEEP,5,5,5,5,5,5,5,5,5,5,5,5,5
31,UTTAR PRADESH,ALIGARH,7.76,23.56,17.4,15.95,13.29,17.73,18.32,17.87,16.85,136.07,16.78,19.23,20.18
32,MANIPUR,UKHRUL,26,26,26,26,26,26,26,26,26,26,26,26,26
33,TAMILNADU,TIRUCHIRAPPALLI,9.25,10.48,11.09,11.22,11.09,9.5,11.22,10.79,17.4,17.77,7.1,12,12
34,ODISHA,NUAPADA,3.04,3,3,5.23,3,3,3,1.42,3,3,3.14,3,3
35,MADHYA PRADESH,RAJGARH,10.31,6,6,6,13.86,9.47,2.79,2.33,6,1.73,3.57,6,6
36,UTTAR PRADESH,BAHRAICH,3.79,5.74,11.67,13.08,4.59,26.74,13.09,12.81,12.02,12.21,13.97,12.21,22.49
37,UTTAR PRADESH,GORAKHPUR,4.69,5.73,9.07,11.13,5.58,30.63,11.51,10.6,10.92,10.92,9.47,9.79,22.9
38,ASSAM,DHUBRI,4.08,6,8.31,6,6,6,6,2.12,6,6,8.21,6,6
