field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14
6000,barley,18.5640737345,8.162614699,94.6107699058,15.77885168,31.8008808949,26.2395633211,11.6308330057,4.5384387692,0,1,1,1
6001,barley,13.005564053,6.8131514946,107.0886911189,13.9704925362,31.3870927752,26.8193579721,11.1640428481,7.2503461213,0,1,1,1
6002,barley,20.2979771436,6.4609246303,108.1182927096,15.4662978571,31.6064398071,24.457449286,10.5040814897,4.8227864751,0,1,1,1
6003,barley,16.4393857304,6.9386118958,86.5008014343,14.0352095716,31.7064199401,26.3261184158,11.7820610498,6.2084370836,0,1,1,1
6004,barley,12.4565452505,6.6298027158,94.6934998326,12.6892969054,31.4390177708,24.6248400083,10.0077584634,4.861249563,0,1,1,1
6005,barley,21.3759129263,7.7945822867,91.6897915298,13.7600301096,31.0922334301,25.5569120483,13.5135272171,6.721622052,0,1,1,1
6006,barley,23.2781138146,8.1462430755,95.5354685324,14.2091774053,31.4314944816,26.8699989308,13.5776236715,6.7176790876,0,1,1,1
6007,barley,23.9443401441,6.806251008,107.7056508479,12.2436060086,31.4678963715,26.6016314861,11.3468809359,4.8920197733,0,1,1,1
6008,barley,12.6101941115,8.1750673543,80.0928920651,15.0666899369,30.3810040853,23.6071104065,11.7102225471,7.196294123,0,1,1,1
6009,barley,16.6759039551,7.6203817843,98.5054212692,12.6450833465,31.3037030276,26.1717077948,12.9838733562,5.3676741663,0,1,1,1
6010,barley,17.0915374514,6.9202049232,92.0613657325,13.425525718,31.7531649591,24.4588574536,11.3395854139,4.7479739235,0,1,1,1
6011,barley,14.2481732928,6.440450572,90.3603432553,15.1912404659,31.5093085748,23.9801428402,10.4239221306,4.4116432154,0,1,1,1
6012,barley,18.7140970842,7.5544008296,87.8599833753,15.3005897335,31.2286113057,26.3267149115,10.774715338,5.4612162567,0,1,1,1
6013,barley,20.4650648607,8.2241220162,104.5152767151,15.6382670653,31.0740171638,23.1528413695,12.4996228242,7.9813411957,0,1,1,1
6014,barley,14.0178548767,7.1660120793,100.8664312275,13.2018159061,30.4984778306,26.1671402556,10.3203015545,7.2039299243,0,1,1,1
6015,barley,24.7638615064,7.3020040378,101.013703764,14.7538902154,30.5364572424,26.0192307748,10.469427306,4.771788464,0,1,1,1
6016,barley,12.1516497757,6.3465927359,80.9168027024,12.3441953626,30.785017881,23.25551136,11.9049188949,5.181573985,0,1,1,1
6017,barley,17.9097204123,6.9804422875,104.9894743713,13.0636050514,31.8454810156,26.5929429572,12.1249065428,6.0613939547,0,1,1,1
6018,barley,16.3127331093,6.4690820894,86.5468312736,13.4231959723,30.2112412813,23.381238996,13.0124622997,7.457173975,0,1,1,1
6019,barley,18.5380811008,8.4362985239,86.6401372548,14.8275916758,31.4009556545,25.4979701867,12.9569442715,4.6823654551,0,1,1,1
6020,barley,22.0937868168,6.4710529491,86.0905302668,12.7418206769,31.7827964308,24.3447080398,10.3829837725,6.1095749235,0,1,1,1
6021,barley,20.3699288692,7.8629156571,89.4012182921,15.9390588224,31.4418483772,26.3374011786,11.2462677354,5.6858494706,0,1,1,1
6022,barley,15.467770768,6.281920791,101.8683388036,15.6772912527,31.2386554545,23.025826059,12.431885931,4.4117502655,0,1,1,1
6023,barley,21.8391800665,8.1279520087,101.3609514234,13.7193883706,31.0536779925,25.8912744282,13.1902438645,7.5932578418,0,1,1,1
6024,barley,21.0415976117,8.4918724814,108.8990596973,13.1999564864,31.0320929824,23.3491012775,13.682268714,7.7191339456,0,1,1,1
6025,barley,21.9716225963,8.1501314671,86.9519958007,12.4822210955,31.4163407147,26.990665636,11.1250164981,6.3814207647,0,1,1,1
6026,barley,12.6012393228,6.000249911,94.3306082621,13.8287872821,30.681552177,23.8574579263,11.5793317903,5.1006087448,0,1,1,1
6027,barley,13.652762656,6.6558248502,106.9932948531,15.8154605334,31.1494600795,23.701999221,11.9845704468,4.3750085021,0,1,1,1
6028,barley,17.470163498,8.1153366295,90.6793178059,14.317904369,30.7886759033,26.9727814058,12.6102003249,6.0461083439,0,1,1,1
6029,barley,23.999320593,6.5185315158,86.5821129195,14.9107651122,31.1436334896,23.2877212543,10.3290841797,6.4432919789,0,1,1,1
