field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14
9000,coriander,16.2590217521,8.2764220648,9.0546312284,27.11232809,16.0162263787,39.7879042604,0,0,0,0,1,0
9001,coriander,21.6554738891,9.6977284541,8.2499810927,24.6785605063,24.5178934706,41.1009867733,0,0,0,0,1,0
9002,coriander,15.4725769241,8.0809199857,7.8488736387,26.9776386747,23.5614390636,39.7258340702,0,0,0,0,1,0
9003,coriander,27.5883808202,8.1844998059,8.912460273,27.4289350113,22.6001383139,42.8121269981,0,0,0,0,1,0
9004,coriander,20.9588539003,9.1055650255,8.4857010145,27.0342972585,20.9018865367,40.034259105,0,0,0,0,1,0
9005,coriander,19.2293064584,9.9701312379,9.0211541974,27.2570174084,17.5984257678,42.2130140232,0,0,0,0,1,0
9006,coriander,23.7736440723,9.174631866,8.6803045757,25.4793199486,16.3868097413,38.9388881233,0,0,0,0,1,0
9007,coriander,23.5587559087,8.2569464654,8.6966597528,27.6148352504,21.0942709998,38.1703942528,0,0,0,0,1,0
9008,coriander,17.127352798,8.7415317417,9.6529066952,26.3392427529,22.7254345543,38.0145712261,0,0,0,0,1,0
9009,coriander,15.8367363769,9.5648916104,9.5597157377,24.7893437601,16.1685865953,40.3145412352,0,0,0,0,1,0
9010,coriander,22.3915164064,9.1217655426,8.173442193,27.6714906384,22.065558533,38.9890079264,0,0,0,0,1,0
9011,coriander,26.0672472992,9.8825187434,8.2912937918,27.2436431547,21.8820768855,40.8087011536,0,0,0,0,1,0
9012,coriander,22.236972167,8.7179330348,8.7749560491,23.9010354069,19.5671645022,39.9704445056,0,0,0,0,1,0
9013,coriander,23.1457291255,8.9734522762,8.3615338041,26.3750904392,18.3999147409,38.3525385478,0,0,0,0,1,0
9014,coriander,20.1324105602,9.4540395597,7.7644129471,26.5689701325,21.0965126543,42.3037594561,0,0,0,0,1,0
9015,coriander,15.2834098251,9.7767911342,8.9490354204,23.1471802575,23.180692106,39.3820292595,0,0,0,0,1,0
9016,coriander,23.3992061977,8.1426856798,7.8849953956,25.8319796507,21.0408860944,37.0677861124,0,0,0,0,1,0
9017,coriander,20.2041452296,8.0670457855,8.2063411483,23.7674370276,16.6695222713,39.8712273674,0,0,0,0,1,0
9018,coriander,22.5434132904,9.9875559234,8.099157229,26.8687798683,22.0318681269,37.3496158864,0,0,0,0,1,0
9019,coriander,18.1026440111,8.9321956938,9.3846635028,27.5811625572,24.2200510641,40.732610758,0,0,0,0,1,0
9020,coriander,20.1405177241,8.9968303823,7.6320288776,24.4084262247,24.2149948209,38.2651776663,0,0,0,0,1,0
9021,coriander,23.1908395867,8.366222982,8.5394389622,23.758834417,23.0443186792,38.0729226893,0,0,0,0,1,0
9022,coriander,26.8273739741,8.7756546254,9.9527001506,22.5072776967,19.1532481084,42.0550389791,0,0,0,0,1,0
9023,coriander,21.165507191,9.7217228824,8.8728714878,27.4174530354,15.2545171602,42.3713501983,0,0,0,0,1,0
9024,coriander,19.5570323528,9.9312846901,9.816507174,23.2738647105,22.8367626103,41.8183288481,0,0,0,0,1,0
9025,coriander,16.4711363185,9.8437119097,8.2595854158,27.1784133888,22.4061132481,41.5720797756,0,0,0,0,1,0
9026,coriander,17.3548325427,9.1259585067,8.0109939634,26.9438340314,23.988569017,41.4829983532,0,0,0,0,1,0
9027,coriander,15.8373343683,8.3761993029,8.4682503739,26.7129735193,24.6418381859,41.3575934893,0,0,0,0,1,0
9028,coriander,18.9371316067,8.4613922054,8.8952257545,22.6818893525,24.5032777507,38.4660420814,0,0,0,0,1,0
9029,coriander,25.4275240244,9.0371162872,7.8032683255,27.5318234968,19.2714105443,41.952288324,0,0,0,0,1,0
9030,coriander,25.9656069314,8.9481122483,8.7989905113,26.8854645572,18.619625353,42.5384430587,0,0,0,0,1,0
9031,coriander,19.1574477431,8.8159919875,7.6966496292,26.9811274556,21.666501754,40.6987872612,0,0,0,0,1,0
9032,coriander,24.0206863424,8.0973314246,9.8860291863,26.7561641748,15.7842730252,40.747400324,0,0,0,0,1,0
9033,coriander,26.957513045,8.3876492972,7.8658107695,24.6708346661,19.6275572548,38.5682954084,0,0,0,0,1,0
9034,coriander,24.1000032257,9.2582031752,8.9434493411,23.1092782507,22.7437885777,37.2153187723,0,0,0,0,1,0
